Frontline Test Equipment Bluetooth Protocol Analyzer
Protocol,LMP
Index,Slave/Master,Type,Description,Payload Data
7,Master,DM1,LMP_version_req,4A 02 0A 00 DB 04
32,Slave,DM1,LMP_version_res,4C 01 01 00 2C 02
39,Master,DM1,LMP_features_req,4E BF FE 0F 00 18 18 00 00
46,Slave,DM1,LMP_features_res,50 BF 28 21 00 00 00 00 00
53,Master,DM1,LMP_host_connection_req,66
74,Slave,DM1,LMP_accepted : LMP_host_connection_req,06 33
78,Slave,DM1,LMP_setup_complete,63
81,Master,DM1,LMP_setup_complete,62
85,Master,DM1,LMP_max_slot : 5,5A 05
87,Master,DM1,LMP_max_slot_req : 5,5C 05
108,Slave,DM1,LMP_accepted : LMP_max_slot_req,06 2E
119,Master,DM1,LMP_clkoffset_req,0A
125,Master,DM1,LMP_name_req,02 00
130,Slave,DM1,LMP_clkoffset_res : 29455(0x730F),0C 0F 73
138,Slave,DM1,LMP_name_res : Nophretete,04 00 0A 4E 6F 70 68 72 65 74 65 74 65 00 00 00 00
144,Slave,DM1,LMP_name_res : Nophretete,04 00 0A 4E 6F 70 68 72 65 74 65 74 65 00 00 00 00
391,Master,DM1,LMP_features_req,4E BF FE 0F 00 18 18 00 00
400,Slave,DM1,LMP_features_res,50 BF 28 21 00 00 00 00 00
409,Master,DM1,LMP_version_req,4A 02 0A 00 DB 04
416,Slave,DM1,LMP_version_res,4C 01 01 00 2C 02
6039,Master,DM1,LMP_in_rand,10 87 93 04 CC 71 A5 1D 0B 7F B6 BF D9 D0 81 E2 67
6148,Slave,DM1,LMP_name_req,03 00
6155,Master,DM1,LMP_name_res : Audit,05 00 05 41 75 64 69 74 00 00 00 00 00 00 00 00 00
11830,Slave,DM1,LMP_accepted : LMP_in_rand,06 08
11855,Master,DM1,LMP_comb_key,12 B2 D6 95 CE 37 F1 2B B7 C3 41 2B E6 ED 4D 09 46
11862,Slave,DM1,LMP_comb_key,12 78 63 C2 3D 98 92 21 06 07 99 B2 A4 12 8F 00 CA
11895,Master,DM1,LMP_au_rand,16 52 2A 26 38 5A 1F 5B 51 2D 26 EC A8 FC 97 80 B7
11897,Master,DM1,LMP_au_rand,16 52 2A 26 38 5A 1F 5B 51 2D 26 EC A8 FC 97 80 B7
